指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
850241,2018-09-30 00:00:00,CNSESZ,0.0558,0.0408,1.9798,0.0,0.2032,0.0281,0.0405,0.0148,0.0258,0.0179,0.0131,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4821,1.492
850241,2018-03-31 00:00:00,CNSESZ,0.0043,0.0001,0.5424,0.0,0.1734,0.008,0.0558,0.0054,0.0097,0.0014,0.0,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.45,1.5511
850241,2017-03-31 00:00:00,CNSESZ,0.0186,0.0229,0.518,0.0,0.1218,0.036,0.0492,0.0072,0.0091,0.0067,0.0082,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.561,1.4922
850241,2017-06-30 00:00:00,CNSESZ,0.0492,0.0107,1.342,0.0,0.1255,0.0367,0.0602,0.0168,0.0263,0.016,0.0035,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.584,1.5224
850241,2018-06-30 00:00:00,CNSESZ,0.0522,0.0263,1.2996,0.0,0.2051,0.0401,0.058,0.0146,0.0245,0.0169,0.0085,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4815,1.4924
850241,2017-09-30 00:00:00,CNSESH,-0.0749,-0.0972,2.7632,0.0,0.0698,-0.0271,0.0088,-0.0003,0.0086,-0.0266,-0.0345,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4307,1.4404
850241,2018-12-31 00:00:00,CNSESZ,-0.3649,-0.1797,2.5115,0.0036,0.1702,-0.1453,-0.0925,-0.0649,-0.0835,-0.1311,-0.0645,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0492,1.4636
850241,2019-03-31 00:00:00,CNSESZ,0.0279,0.0057,0.3615,0.0,0.2464,0.0773,0.1181,0.0086,0.0153,0.01,0.002,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0736,1.4643
850241,2019-06-30 00:00:00,CNSESZ,0.0369,0.0246,0.9446,0.0,0.2402,0.0391,0.075,0.0108,0.0246,0.0128,0.0085,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0673,1.5522
850241,2019-09-30 00:00:00,CNSESZ,0.0311,0.0308,1.3888,0.0,0.2431,0.0224,0.0546,0.0094,0.0261,0.0107,0.0106,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.0581,1.5519
850241,2017-12-31 00:00:00,CNSESZ,-0.0746,-0.1341,2.8543,0.0,0.1454,-0.0261,0.0082,-0.0001,0.0075,-0.0241,-0.0434,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4481,1.5366
850241,2019-12-31 00:00:00,CNSESZ,-0.215,-0.2773,2.0234,0.0,0.2452,-0.1062,-0.0831,-0.0363,-0.0662,-0.0846,-0.1092,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.1906,1.5496
850241,2020-06-30 00:00:00,CNSESZ,-0.0797,-0.0657,0.5249,0.0,0.2115,-0.1518,-0.1158,-0.0111,-0.0239,-0.0314,-0.0259,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.3088,1.5876
850241,2020-03-31 00:00:00,CNSESH,0.0085,0.004,0.8918,0.0,0.1056,0.0095,0.0365,0.0033,0.0132,0.0034,0.0016,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.3328,1.0525
850241,2020-09-30 00:00:00,CNSESZ,-0.125,-0.0821,0.7614,0.0,0.2001,-0.1642,-0.1033,-0.0138,-0.0315,-0.0501,-0.0329,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.3599,1.5989
850241,2020-12-31 00:00:00,CNSESZ,-0.6405,-0.6661,1.0888,0.0,0.1907,-0.5882,-0.5478,-0.1314,-0.305,-0.3275,-0.3405,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.8859,1.5029
850241,2021-06-30 00:00:00,CNSESH,0.0654,0.056,2.3067,0.0,0.0904,0.0283,0.0467,0.0122,0.0414,0.0251,0.0215,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0557,0.0,0.4199,1.0584
850241,2021-03-31 00:00:00,CNSESZ,-0.0142,-0.025,0.2262,0.0,0.2089,-0.063,-0.0573,-0.0017,-0.0065,-0.0072,-0.0126,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.8992,1.5038
850241,2021-09-30 00:00:00,CNSESZ,0.0037,-0.0126,0.8094,0.0,0.2577,0.0046,0.0578,0.0091,0.0243,0.0019,-0.0065,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,-0.8931,1.5028
850241,2021-12-31 00:00:00,CNSESZ,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
