公司代码,市场代码,指数代码,指数名称,指数类别,指数编制方分类,是否使用,停用日期,基准点数,指数加权方式
80371090,CNSE00,801039,申万非金属材料Ⅱ指数,行业指数,申万二级行业指数,-1,None,1000.0,None
80371090,CNSE00,801020,申万采掘,行业指数,申万一级行业指数,0,2021-12-13 00:00:00,1000.0,08
80371090,CNSE00,801022,申万其他采掘指数,行业指数,申万二级行业指数,0,2021-12-13 00:00:00,1000.0,08
80371090,CNSE00,850231,申万其他采掘指数,行业指数,申万三级行业指数,0,2021-12-13 00:00:00,0.0,08
80371090,CNSE00,801003,申万Ａ指,风格指数,申万市场表征指数,-1,1900-01-01 00:00:00,1000.0,08
80371090,CNSE00,801030,申万基础化工指数,行业指数,申万一级行业指数,-1,1900-01-01 00:00:00,1000.0,08
80371090,CNSE00,801822,申万中市盈率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
80371090,CNSE00,801832,申万中市净率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
80371090,CNSE00,801863,申万新股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1096.91,08
80371090,CNSE00,850523,申万非金属材料Ⅲ指数,行业指数,申万三级行业指数,-1,1900-01-01 00:00:00,0.0,None
