公司代码,市场代码,指数代码,指数名称,指数类别,指数编制方分类,是否使用,停用日期,基准点数,指数加权方式,
80124565,CNSE00,801040,申万钢铁指数,行业指数,申万一级行业指数,-1,None,1000.0,08,
80124565,CNSE00,801043,申万冶钢原料指数,行业指数,申万二级行业指数,-1,None,1000.0,None,
80124565,CNSE00,801020,申万采掘,行业指数,申万一级行业指数,0,2021-12-13 00:00:00,1000.0,08,
80124565,CNSE00,801022,申万其他采掘指数,行业指数,申万二级行业指数,0,2021-12-13 00:00:00,1000.0,08,
80124565,CNSE00,850231,申万其他采掘指数,行业指数,申万三级行业指数,0,2021-12-13 00:00:00,0.0,08,
80124565,CNSE00,801862,申万活跃指数,风格指数,申万风格指数,0,2017-01-23 00:00:00,1000.0,08,
80124565,CNSE00,801901,申万基金重仓,风格指数,申万市场表征指数,0,2017-01-23 00:00:00,0.0,08,
80124565,CNSE00,801003,申万Ａ指,风格指数,申万市场表征指数,-1,1900-01-01 00:00:00,1000.0,08,
80124565,CNSE00,801812,申万中盘指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08,
80124565,CNSE00,801813,申万小盘指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08,
80124565,CNSE00,801821,申万高市盈率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None,
80124565,CNSE00,801831,申万高市净率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None,
80124565,CNSE00,801832,申万中市净率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None,
80124565,CNSE00,801842,申万中价股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None,
80124565,CNSE00,801851,申万亏损股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None,
80124565,CNSE00,801863,申万新股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1096.91,08,
,,,,,,,,,,
