公司代码,市场代码,指数代码,指数名称,指数类别,指数编制方分类,是否使用,停用日期,基准点数,指数加权方式
10001257,CNSE00,801950,申万煤炭指数,行业指数,申万一级行业指数,-1,None,1000.0,None
10001257,CNSE00,801952,申万焦炭Ⅱ指数,行业指数,申万二级行业指数,-1,None,1000.0,None
10001257,CNSE00,859521,申万焦炭Ⅲ指数,行业指数,申万三级行业指数,-1,None,1000.0,None
10001257,CNSE00,801020,申万采掘,行业指数,申万一级行业指数,0,2021-12-13 00:00:00,1000.0,08
10001257,CNSE00,801021,申万煤炭开采指数,行业指数,申万二级行业指数,0,2021-12-13 00:00:00,1000.0,08
10001257,CNSE00,850222,申万焦炭加工指数,行业指数,申万三级行业指数,0,2021-12-13 00:00:00,0.0,08
10001257,CNSE00,801862,申万活跃指数,风格指数,申万风格指数,0,2017-01-23 00:00:00,1000.0,08
10001257,CNSE00,801901,申万基金重仓,风格指数,申万市场表征指数,0,2017-01-23 00:00:00,0.0,08
10001257,CNSE00,801903,申万基金核心,风格指数,申万市场表征指数,0,2017-01-23 00:00:00,0.0,08
10001257,CNSE00,801321,申万300采掘指数,行业指数,申万300行业指数,0,2014-02-21 00:00:00,1000.0,08
10001257,CNSE00,801003,申万Ａ指,风格指数,申万市场表征指数,-1,1900-01-01 00:00:00,1000.0,08
10001257,CNSE00,801300,申万300指数,风格指数,申万市场表征指数,-1,1900-01-01 00:00:00,1000.0,08
10001257,CNSE00,801811,申万大盘指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
10001257,CNSE00,801812,申万中盘指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
10001257,CNSE00,801813,申万小盘指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
10001257,CNSE00,801821,申万高市盈率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001257,CNSE00,801823,申万低市盈率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001257,CNSE00,801832,申万中市净率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001257,CNSE00,801833,申万低市净率指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001257,CNSE00,801843,申万低价股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001257,CNSE00,801851,申万亏损股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,None
10001257,CNSE00,801852,申万微利股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
10001257,CNSE00,801853,申万绩优股指数,风格指数,申万风格指数,-1,1900-01-01 00:00:00,1000.0,08
